Authors,Author full names,Author(s) ID,Title,Year,Source title,DOI,Link,Abstract,Author Keywords,Index Keywords
"I., Doumas, Ioannis; T.M., Lejeune, Thierry M.; M.G., Edwards, Martin Gareth; G.G., Stoquart, Gaétan G.; Y., Vandermeeren, Yves; B., Dehez, Bruno; S.B., Dehem, Stephanie B.","Doumas, Ioannis (57224633533); Lejeune, Thierry M. (6701336084); Edwards, Martin Gareth (7402850677); Stoquart, Gaétan G. (23096088400); Vandermeeren, Yves (6602445707); Dehez, Bruno (6506623569); Dehem, Stephanie B. (57194712940)",57224633533; 6701336084; 7402850677; 23096088400; 6602445707; 6506623569; 57194712940,Clinical validation of an individualized auto-adaptative serious game for combined cognitive and upper limb motor robotic rehabilitation after stroke,2025,Journal of NeuroEngineering and Rehabilitation,10.1186/s12984-025-01551-w,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85216718183&doi=10.1186%2Fs12984-025-01551-w&partnerID=40&md5=e0dcc6b506f9b76e72429b4098bb604a,"Background: Intensive rehabilitation through challenging and individualized tasks are recommended to enhance upper limb recovery after stroke. Robot-assisted therapy (RAT) and serious games could be used to enhance functional recovery by providing simultaneous motor and cognitive rehabilitation. Objective: The aim of this study is to clinically validate the dynamic difficulty adjustment (DDA) mechanism of ROBiGAME, a robot serious game designed for simultaneous rehabilitation of motor impairments and hemispatial neglect. Methods: A proof of concept, with 24 participants in subacute and chronic stroke, was conducted using a 5-day protocol (two days were dedicated to assessment and three days to consecutive training sessions). Participants performed three consecutive ROBiGAME sessions during which overall task difficulty was determined through simultaneous DDA of motor and attentional parameters. Relationships between clinical and robotic assessment scores with respective task-difficulty parameters were analyzed using a multivariate regression model and a principal component analysis. Results: Game difficulty rapidly (within approximately thirty minutes) auto-adapted to match individual impairment levels. The relationship between task-difficulty parameters with motor (Fugl Meyer Assessment: r = 0.84 p < 0.05) and with attentional impairments (Bells test total omissions: r = 0.617 p < 0.05) showed that task-difficulty during RAT adapted to each participant’s degree of impairment. Principal component analysis identified two data subsets determining overall task-difficulty, one subset for motor and the other for cognitive functional evaluation scores with respective task-difficulty parameters. Conclusions: This proof of concept clinically validated a DDA mechanism and showed how task-difficulty adequately adapted to match individual degrees of impairment during RAT after stroke. ROBiGAME provided simultaneous motor and attentional exercises with parameters determining task-difficulty strongly related with respective clinical and robotic evaluation scores. Individualized levels of game difficulty and rapid adjustment of the system suggest implementation in clinical practice. Registry number This study was registered at ClinicalTrials.gov (NCT02543424). © 2025 Elsevier B.V., All rights reserved.",Cognitive Rehabilitation; Motor Learning; Neurorehabilitation; Robot-assisted Therapy; Serious Games; Stroke; Reaplan; Adult; Article; Cerebrovascular Accident; Clinical Article; Clinical Protocol; Cognition; Cognitive Rehabilitation; Computer Assisted Therapy; Dynamic Difficulty Adjustment; Female; Fugl-meyer Assessment; Game; Hemispatial Neglect; Human; Male; Middle Aged; Motor Dysfunction; Motor Learning; Neurorehabilitation; Personalized Medicine; Principal Component Analysis; Proof Of Concept; Robot Assisted Therapy; Serious Game; Stroke Rehabilitation; Task Performance; Upper Limb; Validation Study; Aged; Complication; Convalescence; Devices; Etiology; Pathophysiology; Perception Disorder; Procedures; Rehabilitation; Robotics; Video Game; Adult; Aged; Female; Humans; Male; Middle Aged; Perceptual Disorders; Recovery Of Function; Robotics; Stroke; Stroke Rehabilitation; Upper Extremity; Video Games,adult; Article; cerebrovascular accident; clinical article; clinical protocol; cognition; cognitive rehabilitation; computer assisted therapy; dynamic difficulty adjustment; female; Fugl-Meyer assessment; game; hemispatial neglect; human; male; middle aged; motor dysfunction; motor learning; neurorehabilitation; personalized medicine; principal component analysis; proof of concept; robot assisted therapy; serious game; stroke rehabilitation; task performance; upper limb; validation study; aged; complication; convalescence; devices; etiology; pathophysiology; perception disorder; procedures; rehabilitation; robotics; video game; Adult; Aged; Female; Humans; Male; Middle Aged; Perceptual Disorders; Recovery of Function; Robotics; Stroke; Stroke Rehabilitation; Upper Extremity; Video Games
"Y., El Marhraoui, Youness; S., Bouilland, Stéphane; M., Deseur, Marine; M., Boukallel, Mehdi; S., Bouchigny, Sylvain; S.A., Panëels, Sabrina A.; M., Anastassova, M.; F., Muhla, Fréderic; J., Monsaingeon, Justine; D., Sauquet, Dominique","El Marhraoui, Youness (57668372400); Bouilland, Stéphane (6602865136); Deseur, Marine (60030586700); Boukallel, Mehdi (15134982900); Bouchigny, Sylvain (35226980500); Panëels, Sabrina A. (19640648300); Anastassova, M. (24504328600); Muhla, Fréderic (57196344902); Monsaingeon, Justine (60029711500); Sauquet, Dominique (60030000500)",57668372400; 6602865136; 60030586700; 15134982900; 35226980500; 19640648300; 24504328600; 57196344902; 60029711500; 60030000500,CPLAY: Upper Limb Functional Rehabilitation Tool for Children with Developmental Coordination Disorder or Cerebral Palsy,2025,IRBM,10.1016/j.irbm.2025.100907,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105012631215&doi=10.1016%2Fj.irbm.2025.100907&partnerID=40&md5=a4da61a761edaf871dc8e2b340b3ed35,"CPLAY is a novel serious-game platform combining miniaturized, instrumented building bricks with a tablet interface and AI-driven activity recognition to deliver personalized, gamified upper-limb rehabilitation for children with Developmental Coordination Disorder or Cerebral Palsy. Developed through a co-design process with therapists, engineers, parents and children, two IMU-equipped brick form factors transmit 70 Hz motion data via Bluetooth to a tablet hosting fifteen progressively challenging 3D assembly tasks enriched with rewards and audiovisual feedback. In a clinical feasibility trial, 30 children (mean age 9.1 ± 1.0 years) performed each model twice under supervision; synchronized motion and video data were annotated to train signal-processing routines and deep-learning classifiers. Signal processing detected all 36 movement and fall events (one false positive), while the Transformer model outperformed other approaches, achieving 86.0% multi-class accuracy and 85–96% binary accuracy across activity labels. These results demonstrate CPLAY's ability to objectively detect and classify key rehabilitation movements, paving the way for adaptive, AI-driven therapy, with future work focused on embedding a recommendation engine, scaling trials and refining AI models. © 2025 Elsevier B.V., All rights reserved.",Artificial Intelligence; Gamification; Rehabilitation; Wearables; Article; Artificial Intelligence; Cerebral Palsy; Child; Clinical Article; Controlled Study; Deep Learning; Developmental Coordination Disorder; Female; Human; Limb Rehabilitation; Male; Motion; Parent; Signal Processing; Upper Limb,Article; artificial intelligence; cerebral palsy; child; clinical article; controlled study; deep learning; developmental coordination disorder; female; human; limb rehabilitation; male; motion; parent; signal processing; upper limb
"X., Shan, Xuandi; T., Liu, Tingting; Z., Liu, Zhen","Shan, Xuandi (60105339400); Liu, Tingting (55727711100); Liu, Zhen (56263344500)",60105339400; 55727711100; 56263344500,A Serious Game with Leap Motion for Hand Motor Function Assessment,2025,,10.1145/3745533.3745622,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105016461799&doi=10.1145%2F3745533.3745622&partnerID=40&md5=df1f8ae36c5637f3ded0dc7c11492b50,"Stroke causes damage to specific brain areas, resulting in a loss of motor control on one side of the body, often manifesting as unilateral hand or upper limb movement disorders. Hand movement disorders require long-term rehabilitation and regular functional assessment. Currently, the primary method of assessing a patient's motor function involves clinicians instructing patients to complete tasks on an exercise scale. However, when patients undergo in-home rehabilitation, clinicians cannot regularly assess them, limiting the effectiveness of rehabilitation training. Hence, this study introduces a serious game that automatically assesses the degree of hand-motor impairment in stroke patients. The game involves four virtual guided tasks for hand motor function assessment, where each task requires completing different hand motions. Based on the clinician's expertise, the hand motions constructed correspond to motor features that reflect the functional indicators of the patient's hand. These motor characteristics correlate significantly with the Wolf Motor Function Test, primarily used to assess upper limb motor function in hemiplegic patients. The proposed method is based on experimental data from 10 healthy participants and 17 stroke patients with hemiplegia. The results show that this serious game can effectively discriminate between healthy individuals and patients with severe, moderate or mild hemiplegia. Furthermore, this game-based assessment method is easily applicable to home rehabilitation scenarios and the majority of users have a positive attitude towards it. © 2025 Elsevier B.V., All rights reserved.",Hand Motor Function Assessment; Home Rehabilitation; Serious Game; Stroke; Brain; Functional Assessment; Human Computer Interaction; Human Engineering; Interactive Computer Graphics; Neuromuscular Rehabilitation; Brain Areas; Functionals; Hand Motion; Hand Motor Function Assessment; Home Rehabilitation; Motor Function; Movement Disorders; Stroke; Stroke Patients; Upper Limbs; Serious Games,Brain; Functional assessment; Human computer interaction; Human engineering; Interactive computer graphics; Neuromuscular rehabilitation; Brain areas; Functionals; Hand motion; Hand motor function assessment; Home rehabilitation; Motor function; Movement disorders; Stroke; Stroke patients; Upper limbs; Serious games
"J.A., Silva, Jaime A.; M.F., F Silva, Manuel Fernando; H.P., Oliveira, Hélder P.; C.D., Rocha, Cláudia D.","Silva, Jaime A. (60042589900); F Silva, Manuel Fernando (55934287000); Oliveira, Hélder P. (23390156200); Rocha, Cláudia D. (57215857942)",60042589900; 55934287000; 23390156200; 57215857942,Developing a Serious Video Game to Engage the Upper Limb Post-Stroke Rehabilitation,2025,Applied Sciences (Switzerland),10.3390/app15158240,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105013179920&doi=10.3390%2Fapp15158240&partnerID=40&md5=0d8c73d73e33efd8678035269f180bb9,"Stroke often leads to severe motor impairment, especially in the upper limbs, greatly reducing a patient’s ability to perform daily tasks. Effective rehabilitation is essential to restore function and improve quality of life. Traditional therapies, while useful, may lack engagement, leading to low motivation and poor adherence. Gamification—using game-like elements in non-game contexts—offers a promising way to make rehabilitation more engaging. The authors explore a gamified rehabilitation system designed in Unity 3D using a Kinect V2 camera. The game includes key features such as adjustable difficulty, real-time and predominantly positive feedback, user friendliness, and data tracking for progress. The evaluations were conducted with 18 healthy participants, most of whom had prior virtual reality experience. About 77% found the application highly motivating. While the gameplay was well received, the visual design was noted as lacking engagement. Importantly, all users agreed that the game offers a broad range of difficulty levels, making it accessible to various users. The results suggest that the system has strong potential to improve rehabilitation outcomes and encourage long-term use through enhanced motivation and interactivity. © 2025 Elsevier B.V., All rights reserved.",Gamification; Kinect V2; Quality Of Life; Rehabilitation; Serious Games; Stroke; Unity; Upper Limb; Feedback; Gamification; Human Computer Interaction; Interactive Computer Graphics; Motivation; Neuromuscular Rehabilitation; Virtual Reality; Daily Tasks; Kinect V2; Motor Impairments; Post-stroke Rehabilitation; Quality Of Life; Stroke; Unity; Upper Limbs; Video-games; Serious Games,Feedback; Gamification; Human computer interaction; Interactive computer graphics; Motivation; Neuromuscular rehabilitation; Virtual reality; Daily tasks; Kinect v2; Motor impairments; Post-stroke rehabilitation; Quality of life; Stroke; Unity; Upper limbs; Video-games; Serious games
"A.F., Cela, Andrés F.; E.D., Oña, Edwin Daniel; A., Jardón Huete, Alberto","Cela, Andrés F. (55539794600); Oña, Edwin Daniel (57195278252); Jardón Huete, Alberto (14627718800)",55539794600; 57195278252; 14627718800,Serious Gaming for Upper Limbs Rehabilitation—Game Controllers Features: A Scoping Review,2025,Games for Health Journal,10.1089/g4h.2024.0122,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105006643924&doi=10.1089%2Fg4h.2024.0122&partnerID=40&md5=265364257ea3205811e72b987ad61496,"The use of exergames in the rehabilitation of patients with upper limb dysfunctions has increased significantly. This scoping review aimed to investigate the game controllers (GCs) employed in exergame systems used for rehabilitation, offering insights into the platforms, sensors, and techniques used in their development, implementation, and utilization. We conducted a comprehensive search of Scopus and PubMed databases, encompassing articles published between February 2013 and February 2023. The eligibility criteria included studies on upper limbs (UL) rehabilitation using exergames published in English-language journals, resulting in the identification of 175 pertinent articles. Seven key categories were identified: pathology, participants’ conditions, dosage of sessions, GCs, sensors, specific part of the UL rehabilitated, and ergonomics. Stroke (55.4%) and cerebral palsy (6.3%) were the most frequently addressed medical conditions in the exergame-based rehabilitation. The number of participants in the reviewed articles was from one to several hundred. Three types of participants were identified: patients, specialists, and volunteers. Randomized controlled trial (RCT) studies consistently featured a controlled number of sessions (ranging from 6 to 40) lasting an average of 20 minutes, while non-RCT studies displayed more variability. Commercial platforms were favored, accounting for 74.3% of GCs, with physical controllers (57.1%) surpassing virtual ones. Cameras were the predominant sensors (50.3%), although a wide array of sensor types including IMUs, push buttons, and force sensors were also used. Rehabilitation focuses 68% on general UL, 20.6% on hands, 4% on elbows, and 3.4% on arms and shoulders. Notably, only 26.3% of the studies considered ergonomics in the rehabilitation system. Although exergame systems are advancing rehabilitation treatments, there remains a need for further development and research on various aspects, such as ergonomics, controller design, and sensor integration, to enhance their suitability for patient use. © 2025 Elsevier B.V., All rights reserved.",Exergames Technology; Games For Health; Review; Serious Games; Upper Extremities Rehabilitation; Upper Limbs Rehabilitation; Devices; Exergaming; Human; Pathophysiology; Procedures; Psychology; Rehabilitation; Upper Limb; Video Game; Exergaming; Humans; Rehabilitation; Upper Extremity; Video Games,devices; exergaming; human; pathophysiology; procedures; psychology; rehabilitation; upper limb; video game; Exergaming; Humans; Rehabilitation; Upper Extremity; Video Games
"T., Cavadini, Thalia; Y., Courbois, Yannick; É.E., Gentaz, Édouard Edouard","Cavadini, Thalia (57223026777); Courbois, Yannick (22034531800); Gentaz, Édouard Edouard (55917486200)",57223026777; 22034531800; 55917486200,Improving social-emotional abilities in children with profound intellectual and multiple disabilities through a person-centred eye-tracking-based training: A pilot study,2025,Acta Psychologica,10.1016/j.actpsy.2025.104928,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105000573879&doi=10.1016%2Fj.actpsy.2025.104928&partnerID=40&md5=bf60e9e13478273ab90c1f15e1c3d03d,"Individuals with profound intellectual and multiple disabilities (PIMD) are characterized by a combination of a profound intellectual disabilities and a profound motor disability frequently associated with a number of additional severe secondary disabilities or impairments. The aim of this pilot study was to evaluate the effects of an innovative person-centred training based on eye-tracking computerised serious games on the social-emotional abilities in these individuals with PIMD. Nine participants aged 7–18 years were followed over a period of 1 year. A pre-test (T1) – training – post-test (T2) design was used. During T1 and T2, visual attention and six social-emotional abilities (preferential attention to biological motion, social orienting, facial expression exploration, emotional faces discrimination, joint attention and socio-moral evaluations) were assessed using an eye-tracking-based experimental paradigm combining various visual preference tasks. During the training, each participant benefited from personalized one-to-one sessions tailored to their skills based on results of T1 and the observations of their practitioners. To implement person-centred training, the experimenter chose from a set of serious games to train these social-emotional abilities, those he felt were best suited to the participant's current state of heath and alertness, personal skills and specific needs. All participants improved their visual exploration between T1 and T2. In addition, they all made progress on at least one of the six social-emotional competencies. These results showed preliminary evidence that it is possible to increase some social-emotional abilities in these individuals with an adapted training, thus indicating that they also have unsuspected learning abilities. © 2025 Elsevier B.V., All rights reserved.",Eye-tracking; Learning Abilities; Profound Intellectual And Multiple Disabilities; Social-emotional Training; Adolescent; Attention; Child; Disabled Child; Emotion; Eye-tracking Technology; Facial Expression; Female; Human; Intellectual Impairment; Male; Physiology; Pilot Study; Psychology; Rehabilitation; Social Competence; Video Game; Adolescent; Attention; Child; Children With Disabilities; Emotions; Eye-tracking Technology; Facial Expression; Female; Humans; Intellectual Disability; Male; Pilot Projects; Social Skills; Video Games,adolescent; attention; child; disabled child; emotion; eye-tracking technology; facial expression; female; human; intellectual impairment; male; physiology; pilot study; psychology; rehabilitation; social competence; video game; Adolescent; Attention; Child; Children with Disabilities; Emotions; Eye-Tracking Technology; Facial Expression; Female; Humans; Intellectual Disability; Male; Pilot Projects; Social Skills; Video Games
"D.L., Sousa, Daniel Lima; S.S., Teixeira, Silmar Silva; A.C., de Oliveira, Adonias Caetano; L.D.B., Lima, Lucas Daniel Batista; R.P., Moreira, Rayele Priscila; F.J., da Silva e Silva, Francisco José; A.S., Teles, Ariel Soares","Sousa, Daniel Lima (23470765300); Teixeira, Silmar Silva (23104699800); de Oliveira, Adonias Caetano (57190287304); Lima, Lucas Daniel Batista (58476807900); Moreira, Rayele Priscila (56878381300); da Silva e Silva, Francisco José (24465968700); Teles, Ariel Soares (56439261000)",23470765300; 23104699800; 57190287304; 58476807900; 56878381300; 24465968700; 56439261000,Computer-Based Gamified Tools for Facial Rehabilitation: A Scoping Review,2025,Games for Health Journal,10.1089/g4h.2023.0220,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85210357348&doi=10.1089%2Fg4h.2023.0220&partnerID=40&md5=62c5778a8019d67cf5816dd8fd97bb5c,"Motor rehabilitation in patients with facial disorders, such as facial paralysis (FP), has faced challenges in maintaining the patients’ engagement and motivation in the intensive and repetitive execution of the exercises. To assist in the facial rehabilitation process, gamified tools (GTs) have been proposed to promote stimulation and engagement in affected patients. This study provides a comprehensive review on the use of GTs to aid facial rehabilitation, with the aim of investigating the potential of such computer-based tools to motivate facial mime exercises. A systematic search conducted on May 22, 2024, across five databases (Scopus, Web of Science, IEEE Xplore, ACM Digital Library, and MEDLINE/PubMed) returned 1043 articles. The selection of studies resulted in 15 articles included for analysis, most of which were intended for patients recovering from FP. Bell’s palsy, paralysis resulting from stroke, orofacial apraxia, and cerebral palsy were the patient disorders addressed in the articles. Facial mimic movements used for rehabilitation varied, the main actions considered in the studies were opening and closing the eyes, smiling, and raising the eyebrows. Studies focused on developing tools and conducting experiments with participants. Despite advances made by the selected studies, proposed computer-based tools for facial rehabilitation have not yet reached the necessary maturity for their use in clinical settings. Consequently, additional efforts are needed to perform new studies to mitigate the challenges presented in this research area. Therefore, this is a constantly evolving area of research and offers a huge window of opportunity for further research. © 2025 Elsevier B.V., All rights reserved.",Augmented Reality; Facial Disorders; Facial Rehabilitation; Mime Therapy; Serious Games; Virtual Reality; Facial Nerve Paralysis; Human; Kinesiotherapy; Procedures; Psychology; Rehabilitation; Video Game; Exercise Therapy; Facial Paralysis; Humans; Video Games,facial nerve paralysis; human; kinesiotherapy; procedures; psychology; rehabilitation; video game; Exercise Therapy; Facial Paralysis; Humans; Video Games
"C., Chen, Chen; F., Mu, Fengjun; Z., Peng, Zhinan; R., Huang, Rui","Chen, Chen (59049451200); Mu, Fengjun (57364399200); Peng, Zhinan (57204549760); Huang, Rui (56447590700)",59049451200; 57364399200; 57204549760; 56447590700,A Novel Framework of Motor-Cognitive Human-Robot Interaction Game Design with Skill Level Recognition,2025,Lecture Notes in Computer Science,10.1007/978-981-96-0783-9_19,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85218472829&doi=10.1007%2F978-981-96-0783-9_19&partnerID=40&md5=28341c50f7e697db2af07a3009fabe9f,"Stroke patients commonly suffer from motor impairments, leading to a heightened interest in the application of rehabilitation robots and serious games for motor re-learning therapies. A wealth of research has established that the integration of motor and cognitive training modalities can substantially enhance the rehabilitation process. Nevertheless, accurately assessing patients’ motor and cognitive statuses remains a significant challenge for current methodologies, thereby impeding real-time monitoring and adaptive adjustments to the rehabilitation regimen. In this work, we introduce a personalized motor-cognitive training framework anchored in serious gaming. Leveraging dynamic system theory, our framework is capable of extracting interpretable dynamic characteristics from the human-robot interaction, enabling a precise evaluation of subjects’ motor skill abilities. The training parameters can be dynamically tuned with the assessed skill levels, which supports multidimensional personalized rehabilitation. Building upon this approach, we have engineered an innovative motor-cognitive rehabilitation platform that synergizes serious games with robotic movement interaction. We have conducted experiments to validate the platform’s efficacy, demonstrating its potential to advance the field of post-stroke rehabilitation. © 2025 Elsevier B.V., All rights reserved.",Deterministic Learning; Dynamical Systems Theory; Human-robot Interaction; Motor Re-learning; Cognitive Systems; Contrastive Learning; Game Design; Human Rehabilitation Engineering; Man Machine Systems; Robot Learning; Serious Games; Structural Dynamics; Systems Analysis; Cognitive Human-robot Interactions; Cognitive Training; Deterministic Learning; Dynamical System Theory; Humans-robot Interactions; Motor Impairments; Motor Re-learning; Skill Levels; Stroke Patients; Human Robot Interaction,Cognitive systems; Contrastive Learning; Game design; Human rehabilitation engineering; Man machine systems; Robot learning; Serious games; Structural dynamics; Systems analysis; Cognitive human-robot interactions; Cognitive training; Deterministic learning; Dynamical system theory; Humans-robot interactions; Motor impairments; Motor re-learning; Skill levels; Stroke patients; Human robot interaction
"M.R., Asgharzadeh Chamleh, Mohammad Reza; M., Afkanpour, Marziyeh; D., Tehrany Dehkordy, Diyana; N., Norouzkhani, Narges; S., Aalaei, Shokoufeh","Asgharzadeh Chamleh, Mohammad Reza (59514741100); Afkanpour, Marziyeh (58103153100); Tehrany Dehkordy, Diyana (59515131100); Norouzkhani, Narges (57699921400); Aalaei, Shokoufeh (56649299600)",59514741100; 58103153100; 59515131100; 57699921400; 56649299600,"Game-based telerehabilitation in neurological disorders: a systematic review of features, opportunities and challenges",2025,Disability and Rehabilitation: Assistive Technology,10.1080/17483107.2025.2450010,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85215087655&doi=10.1080%2F17483107.2025.2450010&partnerID=40&md5=06b8afde9d6c3c447b71beba53bc91e1,"This study explores the integration of telerehabilitation, virtual reality, and serious games technologies in addressing physical disabilities. Specifically, it focuses on game-based telerehabilitation for patients with stroke, Parkinson’s disease, and multiple sclerosis undergoing home-based rehabilitation. Utilising the PICO approach, a search in Scopus and PubMed until February 21st, 2024, identified 31 relevant English articles out of 258 initially considered. The study employed three independent reviewers to select, extract data, and analyse studies based on the research question. The final included studies were analysed to extract and categorise the most critical items, including rehabilitation tools, opportunities, and challenges. Of the 258 studies, 31 met the eligibility criteria, with the majority conducted in the United States and the United Kingdom. Key opportunities identified include the effectiveness of telerehabilitation and the use of new, engaging, user-friendly, and affordable technologies. However, challenges such as motivation, usability, exercise adherence, and technical barriers were significant. The Wii gaming console emerged as the most commonly used telerehabilitation device. This systematic review offers a comprehensive analysis of telerehabilitation features, opportunities, and challenges. It highlights the importance of tailored remote rehabilitation programs, potentially leading to more effective patient services. The study suggests that sustained use of these systems is crucial for positive clinical outcomes and emphasises the impact of affordability and engagement on long-term patient adherence to treatment plans in remote rehabilitation systems. © 2025 Elsevier B.V., All rights reserved.",Multiple Sclerosis; Parkinson’s Disease; Serious Game; Stroke; Telehealth; Telerehabilitation; Virtual Reality; Human; Multiple Sclerosis; Neurologic Disease; Rehabilitation; Stroke Rehabilitation; Telerehabilitation; Video Game; Humans; Multiple Sclerosis; Nervous System Diseases; Stroke Rehabilitation; Telerehabilitation; Video Games,human; multiple sclerosis; neurologic disease; rehabilitation; stroke rehabilitation; telerehabilitation; video game; Humans; Multiple Sclerosis; Nervous System Diseases; Stroke Rehabilitation; Telerehabilitation; Video Games
"D., Wang, Daomiao; null; Y., Wang, Yixi; Z., Jian, Zhuo; Z., Song, Zilong; Q., Hu, Qihan; F., Fang, Fanfu; C., Yang, Cuiwei; D., Wang, Daoyu; H., Yu, Hongliu","Wang, Daomiao (57704670700); Wang, Yixi (58535512000); Jian, Zhuo (58535544600); Song, Zilong (59388201300); Hu, Qihan (57219018358); Fang, Fanfu (56497455000); Yang, Cuiwei (55706715900); Wang, Daoyu (58535544500); Yu, Hongliu (57223021211)",57704670700; 60109022400; 58535512000; 58535544600; 59388201300; 57219018358; 56497455000; 55706715900; 58535544500; 57223021211,Gaze and Go: Harnessing Visual Attention Valence in Upper-Limb Robotic Rehabilitation with Tailored Gamification and Eye Tracking for Neuroplasticity,2025,Proceedings - IEEE International Conference on Robotics and Automation,10.1109/ICRA55743.2025.11127634,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105016619866&doi=10.1109%2FICRA55743.2025.11127634&partnerID=40&md5=c8d3c6101fa0c0fec93036107c98013d,"Therapeutic robotic systems have emerged as reliable tools for physical rehabilitation, providing variableintensity movement assistance to patients with motor impairments. Robot-assisted rehabilitation facilitates the restoration mobility and dexterity, promotes functional neuroplasticity and potentially enables workforce reentry through training-induced cognitive and motor learning. To boost participant engagement and visuomotor coordination, we propose ArmGuider Pro, an advanced upper-limb training system that integrates hand-eye collaboration and gazetriggered assistance within rehabilitation-tailored serious games. The system implements intuitive eye-tracking and visualtriggering strategies to align therapeutic interventions with participants' intentional focus, incorporating immersive gaming elements and adaptive control algorithms. Experimental validation demonstrates significant activation in motor and cognitive cerebral cortex regions, enhanced visual attention concentration in desired target areas (25.92 % improvement), and improved trajectory adherence across sequential sessions (27.27 % improvement). By harnessing visual attention valence, our proposed system could encourage neuroplasticity, supporting its viability for clinical application and widespread adaption in rehabilitation regimens. © 2025 Elsevier B.V., All rights reserved.",Brain; Cognitive Systems; Neuromuscular Rehabilitation; Robotics; Serious Games; Eye-tracking; Gamification; Motor Impairments; Neuroplasticity; Physical Rehabilitation; Robot-assisted Rehabilitation; Robotic Rehabilitation; Robotic Systems; Upper Limbs; Visual Attention; Eye Tracking,Brain; Cognitive systems; Neuromuscular rehabilitation; Robotics; Serious games; Eye-tracking; Gamification; Motor impairments; Neuroplasticity; Physical rehabilitation; Robot-assisted rehabilitation; Robotic rehabilitation; Robotic systems; Upper limbs; Visual Attention; Eye tracking
